artists,count
Frankie Laine,75
Franz Allers,75
Kenny Burrell,75
Pretenders,75
Richard P. Condie,75
Sitara,75
The Flaming Lips,75
Travis Tritt,75
Wu-Tang Clan,75
311,74
Bert-Åke Varg,74
Billy Idol,74
Billy Vaughn,74
Carlos Galán,74
Dave Van Ronk,74
Francisco Amor,74
Hesen Zîrek,74
Hubert Fol,74
INXS,74
Ismael Rivera,74
Jim Hall,74
Jorge Ben Jor,74
Justin Timberlake,74
Mamlê,74
Mikas,74
Natalino Otto,74
No Doubt,74
Oasis,74
Rainbow,74
Ray Barretto,74
Run–D.M.C.,74
TON Jayy,74
The Andrews Sisters,74
The Chicks,74
The Dandy Warhols,74
The Impressions,74
The Lovin' Spoonful,74
The Yardbirds,74
They Might Be Giants,74
Tori Amos,74
Bayreuth Festival Orchestra,73
C. Ramchandra,73
Carly Simon,73
"Harry Connick, Jr.",73
Jack Payne,73
Jack Teagarden,73
Jason Aldean,73
Jason Rivas,73
José Luis Perales,73
L'Orchestre de la Suisse Romande,73
Lionel Richie,73
Miklós Rózsa,73
Peter Frampton,73
Ritchie Valens,73
Sonny Stitt,73
The Clancy Brothers,73
Yomo Toro,73
Art Farmer,72
Bauhaus,72
Caetano Veloso,72
Charley Pride,72
Commodores,72
Dokken,72
Echo & the Bunnymen,72
Five Finger Death Punch,72
Gareth Emery,72
Gorillaz,72
Jeff Beck,72
Los Teen Tops,72
Marisela,72
Orchestra dell'Accademia Nazionale di Santa Cecilia,72
Phish,72
Pierre Bernac,72
Pierre Fournier,72
Ramsey Lewis Trio,72
Roberto Carlos,72
Tunghook,72
Wire,72
Ashok Kumar,71
Carroll Gibbons,71
Ferry Corsten,71
"Grover Washington, Jr.",71
Grupo Libra,71
Leopold Stokowski,71
Meena Kapoor,71
Roberta Flack,71
Sia,71
The Strokes,71
Trippie Redd,71
A$AP Rocky,70
Alanis Morissette,70
Boz Scaggs,70
Chris LeDoux,70
Cisco Houston,70
Columbia Concert Orchestra,70
Eric Dolphy,70
Georges Thill,70
Huey Lewis & The News,70
Iván Rolón,70
Julio Martinez Oyanguren,70
Kraftwerk,70
Manfried Rössner,70
Minutemen,70
Original Broadway Cast Orchestra,70
Poison,70
Solomon Burke,70
The Drifters,70
The Gap Band,70
The Stylistics,70
The Whispers,70
W.A.S.P.,70
Wham!,70
Xavier Cugat & His Orchestra,70
$uicideBoy$,69
Constantine Callinicos,69
DaBaby,69
Demi Lovato,69
Giuseppe Di Stefano,69
Hameeda Bano,69
Jesse Mader,69
Leontyne Price,69
Lola Flores,69
Pet Shop Boys,69
Sonny Boy Williamson II,69
The Jacksons,69
The Miracles,69
The New Christy Minstrels,69
The Oak Ridge Boys,69
Vince Guaraldi,69
West Side Story Orchestra,69
Backstreet Boys,68
Banda Cuisillos,68
Barney Kessel,68
BeatStrumentalz,68
Billie Eilish,68
Bobby Vee,68
Boston Symphony Orchestra,68
Cream,68
Diddy,68
Dio,68
Dmitri Shostakovich,68
Fairuz,68
James Piano Bar,68
Joan Jett & The Blackhearts,68
Johnny Hartman,68
Johnny Hodges,68
Josef Strauss,68
Lee Hazlewood,68
Loreena McKennitt,68
Luke Bryan,68
NOFX,68
Nickelback,68
Orjan Nilsen,68
Ornette Coleman,68
P. Leela,68
Pankaj Mullick,68
Pat Metheny Group,68
Rammstein,68
Raquel Meller,68
Tame Impala,68
Teena Marie,68
The Pied Pipers,68
The Statler Brothers,68
崔萍,68
Benny Goodman Sextet,67
Counting Crows,67
Jimmy Smith,67
Lorde,67
Mariss Jansons,67
Max Roach Quintet,67
Milton Katims,67
Minnie Riperton,67
Pitbull,67
Robert Norberg,67
SZA,67
Samuel Barber,67
Zubin Mehta,67
Akon,66
Albert King,66
Ana Gabriel,66
Anthem Lights,66
Boney M.,66
Boston,66
CBC Symphony Orchestra,66
Caifanes,66
Conjunto Primavera,66
Cyndi Lauper,66
Duke Ellington Orchestra,66
Gaetano Donizetti,66
Honoré de Balzac,66
Imagine Dragons,66
John Coltrane Quartet,66
Markus Schulz,66
Masonic,66
Phil Ochs,66
Roger Williams,66
Something For Kate,66
Sun Ra,66
Survivor,66
T.I.,66
Taj Mahal,66
The Damned,66
The Shirelles,66
Three Days Grace,66
Tina Turner,66
Vangelis,66
Year 200X,66
Björk,65
Boston Pops Orchestra,65
Indigo Girls,65
Jenő Jandó,65
Khalid,65
Marco Antonio Solís,65
Myka 9,65
Pembroke Davenport,65
Peter Tosh,65
Robert Shaw,65
Roger Desormiere,65
Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris,65
Tom Jones,65
Aphex Twin,64
Elvis Costello,64
Glenn Weyant,64
Godsmack,64
Greg Sletteland,64
Jane's Addiction,64
Jikki,64
Kanak Das Biswas,64
Keith Sweat,64
Limp Bizkit,64
Los Lobos,64
Matchbox Twenty,64
Mecano,64
Men At Work,64
Morrissey,64
Neil Sedaka,64
Ohio Players,64
Orchestral Manoeuvres In The Dark,64
Paul Anka,64
Ray Sinatra,64
Roger Fly,64
Sammy Hagar,64
Slowdive,64
Springtoifel,64
The Dubliners,64
The Specials,64
Violent Femmes,64
Wynton Kelly,64
Alberto Arenas,63
Aly & Fila,63
Eazy-E,63
Hozier,63
Michael W. Smith,63
P!nk,63
Quintette du Hot Club de France,63
Sonora Ponceña,63
2 Chainz,62
Antonín Dvořák,62
Apocolothoth,62
Bill Cosby,62
CAN,62
Carl Perkins,62
Elisabeth Schwarzkopf,62
Falange Española,62
Fats Domino,62
Jazz Instrumental Relax Center,62
João Gilberto,62
Juan Luis Guerra 4.40,62
Juilliard String Quartet,62
Kid Rock,62
Kings of Leon,62
Lester Flatt,62
Lorin Maazel,62
Margarita Cueto,62
New Edition,62
Nick Drake,62
Orchestra lirica di Milano della RAI,62
Original Broadway Cast of Hamilton,62
Palaraga,62
Patti Smith,62
Percy Sledge,62
Ricky Van Shelton,62
Robert Fulton,62
Shinedown,62
Small Faces,62
T-Pain,62
The Groundhogs,62
The Partridge Family,62
The Pointer Sisters,62
The Revolution,62
Toots & The Maytals,62
Walter Gieseking,62
Wilmoth Houdini,62
Wilson Pickett,62
Zeber,62
Antonino Votto,61
Black Eyed Peas,61
"Emerson, Lake & Palmer",61
Everclear,61
George Shearing,61
Georgia Mitaki,61
James Horner,61
Johnny Paycheck,61
Max Steiner,61
Rascal Flatts,61
Silvio Rodríguez,61
Tom Petty,61
Big Star,60
Blaise Kolodychuk and the Fukachuk Egg Machine,60
Daniel Johnston,60
Don McLean,60
Eddie Cochran,60
Edgar Froese,60
Enrique Iglesias,60
Erik Werba,60
Gipsy Kings,60
Grupo Exterminador,60
Halsey,60
Insane Clown Posse,60
Intocable,60
James Gang,60
Johnny Smith,60
La Arrolladora Banda El Limón De Rene Camacho,60
Los Acosta,60
Matt Monro,60
Mother Mother,60
Motoharu Sano,60
Navab Jalil,60
Pentatonix,60
Peter Howard,60
Public Enemy,60
Relaxing Zen Music Ensemble,60
Sarah McLachlan,60
Seals and Crofts,60
Sister Rosetta Tharpe,60
Stan Kenton & His Orchestra,60
Super8 & Tab,60
The Ink Spots,60
The Kelly Family,60
The Psychedelic Furs,60
Third Eye Blind,60
Tower Of Power,60
Type O Negative,60
UFO,60
Vince Gill,60
X,60
Childish Gambino,59
Cornelio Reyna,59
Danny Elfman,59
Harold Budd,59
Michael Bolton,59
Nelly,59
Paul Gemignani,59
Salvatore Dell'Isola,59
Sholom Secunda,59
Smokey Robinson,59
Tanya Tucker,59
Πέτρος Κυριακός,59
A Day To Remember,58
Adele,58
Air Supply,58
Anuel AA,58
Avril Lavigne,58
Busta Rhymes,58
C418,58
Elvis Costello & The Attractions,58
Faces,58
Freddie Hubbard,58
Fugazi,58
Gang Starr,58
Giacomo Rondinella,58
Glyndebourne Festival Orchestra,58
Guandulito,58
H Khan Mastana,58
John Cale,58
Kiev Chamber Choir,58
Les Misérables-Original London Cast,58
Mazzy Star,58
Ministry,58
My Bloody Valentine,58
Münir Nurettin Selçuk,58
Natasha Nail,58
New Kids On The Block,58
Sisters of Mercy,58
Tesla,58
The Judds,58
The Stupors Arizona,58
Tracy Chapman,58
Zapp,58
zYnthetic,58
